YEAR,EVENT_ID,SITE_ID,STATION,POT_ID,SAMPLE_POT,all_Cnt_cc,all_Kg_cc,lrg_Cnt,lrg_Kg
1992,1992P04014,4,B,2,Sample,29,0.54,14,0.348951
1992,1992P04014,4,B,3,Sample,25,0.408,6,0.150839
1992,1992P04014,4,B,4,Sample,5,0.046,0,0
1992,1992P04014,4,B,5,Sample,30,0.429,5,0.139954
1992,1992P04014,4,B,6,Sample,22,0.474,9,0.278811
1992,1992P04014,4,B,7,Sample,24,0.479,13,0.334952
1992,1992P04014,4,B,8,Sample,17,0.365,8,0.244528
1992,1992P04014,4,B,9,Sample,22,0.547,16,0.476548
1992,1992P04015,4,C,1,Sample,39,0.73,16,0.437522
1992,1992P04015,4,C,10,Sample,11,0.18,3,0.078852
1992,1992P04015,4,C,11,Sample,0,0,0,0
1992,1992P04015,4,C,2,Sample,24,0.394,7,0.167606
1992,1992P04015,4,C,3,Sample,40,0.688,13,0.326049
1992,1992P04015,4,C,4,Sample,53,0.924,16,0.416917
1992,1992P04015,4,C,5,Sample,28,0.444,9,0.217511
1992,1992P04015,4,C,6,Sample,33,0.382,3,0.078875
1992,1992P04015,4,C,7,Sample,61,0.923,11,0.302723
1992,1992P04015,4,C,8,Sample,42,0.521,3,0.079662
1992,1992P04015,4,C,9,Sample,51,1.158,30,0.856313
1992,1992P04016,4,D,1,Sample,5,0.084,2,0.049941
1992,1992P04016,4,D,10,Sample,0,0,0,0
1992,1992P04016,4,D,11,Sample,0,0,0,0
1992,1992P04016,4,D,2,Sample,0,0,0,0
1992,1992P04016,4,D,3,Sample,0,0,0,0
1992,1992P04016,4,D,4,Sample,0,0,0,0
1992,1992P04016,4,D,5,Sample,0,0,0,0
1992,1992P04016,4,D,6,Sample,0,0,0,0
1992,1992P04016,4,D,7,Sample,0,0,0,0
1992,1992P04016,4,D,8,Sample,0,0,0,0
1992,1992P04016,4,D,9,Sample,0,0,0,0
1992,1992P04026,5,A,1,Sample,33,0.798,21,0.628451
1992,1992P04026,5,A,11,Sample,4,0.063,1,0.026532
1992,1992P04026,5,A,2,Sample,21,0.579,14,0.477643
1992,1992P04026,5,A,3,Sample,36,0.758,20,0.542658
1992,1992P04026,5,A,4,Sample,49,1.003,23,0.601363
1992,1992P04026,5,A,5,Sample,25,0.556,17,0.430021
1992,1992P04026,5,A,6,Sample,9,0.252,7,0.217655
1992,1992P04026,5,A,7,Sample,22,0.443,12,0.308972
1992,1992P04026,5,A,8,Sample,38,0.888,22,0.640177
1992,1992P04026,5,A,9,Sample,20,0.342,8,0.191503
1992,1992P04027,5,B,1,Sample,43,0.902,21,0.612172
1992,1992P04027,5,B,10,Sample,20,0.443,13,0.350031
1992,1992P04027,5,B,11,Sample,14,0.34,9,0.262498
1992,1992P04027,5,B,2,Sample,17,0.384,13,0.322834
1992,1992P04027,5,B,3,Sample,78,1.526,36,1.011771
1992,1992P04027,5,B,4,Sample,12,0.289,5,0.186985
1992,1992P04027,5,B,5,Sample,23,0.529,15,0.425949
1992,1992P04027,5,B,6,Sample,41,0.781,16,0.464724
1992,1992P04027,5,B,7,Sample,22,0.667,18,0.609432
1992,1992P04027,5,B,8,Sample,17,0.434,13,0.371075
1992,1992P04027,5,B,9,Sample,12,0.267,7,0.195515
1992,1992P04028,5,C,1,Sample,2,0.046,1,0.028563
1992,1992P04028,5,C,10,Sample,7,0.1,2,0.057412
1992,1992P04028,5,C,11,Sample,30,0.693,19,0.549742
1992,1992P04028,5,C,2,Sample,0,0,0,0
1992,1992P04028,5,C,3,Sample,7,0.171,5,0.142517
1992,1992P04028,5,C,4,Sample,6,0.179,6,0.179
1992,1992P04028,5,C,5,Sample,16,0.385,10,0.310224
1992,1992P04028,5,C,6,Sample,0,0,0,0
1992,1992P04028,5,C,7,Sample,9,0.134,4,0.100981
1992,1992P04028,5,C,8,Sample,5,0.105,3,0.078935
1992,1992P04028,5,C,9,Sample,4,0.131,3,0.11123
1992,1992P04029,5,D,1,Sample,9,0.334,9,0.334
